game=../Common/res/lud/board/space/territory/Atari Go.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=115,1,58,83,9,-118,115,41
Move=[Move:mover=1,from=184,to=184,actions=[Add:type=Vertex,to=184,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=174,to=174,actions=[Add:type=Vertex,to=174,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=26,to=26,actions=[Add:type=Vertex,to=26,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=29,to=29,actions=[Add:type=Vertex,to=29,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=7,to=7,actions=[Add:type=Vertex,to=7,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=113,to=113,actions=[Add:type=Vertex,to=113,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=178,to=178,actions=[Add:type=Vertex,to=178,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=271,to=271,actions=[Add:type=Vertex,to=271,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=266,to=266,actions=[Add:type=Vertex,to=266,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=265,to=265,actions=[Add:type=Vertex,to=265,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=73,to=73,actions=[Add:type=Vertex,to=73,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=212,to=212,actions=[Add:type=Vertex,to=212,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=276,to=276,actions=[Add:type=Vertex,to=276,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=359,to=359,actions=[Add:type=Vertex,to=359,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=81,to=81,actions=[Add:type=Vertex,to=81,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=305,to=305,actions=[Add:type=Vertex,to=305,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=91,to=91,actions=[Add:type=Vertex,to=91,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=95,to=95,actions=[Add:type=Vertex,to=95,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=20,to=20,actions=[Add:type=Vertex,to=20,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=179,to=179,actions=[Add:type=Vertex,to=179,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=306,to=306,actions=[Add:type=Vertex,to=306,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=142,to=142,actions=[Add:type=Vertex,to=142,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=252,to=252,actions=[Add:type=Vertex,to=252,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=51,to=51,actions=[Add:type=Vertex,to=51,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=156,to=156,actions=[Add:type=Vertex,to=156,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=247,to=247,actions=[Add:type=Vertex,to=247,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=255,to=255,actions=[Add:type=Vertex,to=255,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=38,to=38,actions=[Add:type=Vertex,to=38,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=17,to=17,actions=[Add:type=Vertex,to=17,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=133,to=133,actions=[Add:type=Vertex,to=133,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=130,to=130,actions=[Add:type=Vertex,to=130,level=0,what=1,decision=true]]
